op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
phase4,4,4,151936,100,bfloat16,8,32,7.479,7.443,7.608,7.516,0.083,5,5000,500,1,6ddf1e0-dirty
phase5,5,4,151936,100,bfloat16,8,32,12.114,12.098,12.140,12.117,0.019,5,5000,500,1,6ddf1e0-dirty
phase6,6,4,151936,100,bfloat16,8,32,20.391,20.388,20.399,20.393,0.005,5,5000,500,1,6ddf1e0-dirty
phase7,7,4,151936,100,bfloat16,8,32,24.496,24.483,24.503,24.494,0.009,5,4777,477,1,6ddf1e0-dirty
full,7,4,151936,100,bfloat16,8,32,25.963,25.938,25.973,25.959,0.016,5,4539,453,1,6ddf1e0-dirty
noop,0,4,151936,100,bfloat16,8,32,2.561,2.559,2.570,2.564,0.005,5,5000,500,1,6ddf1e0-dirty
phase1,1,8,151936,20,bfloat16,8,64,4.155,4.143,4.159,4.153,0.007,5,5000,500,1,6ddf1e0-dirty
phase2,2,8,151936,20,bfloat16,8,64,4.259,4.249,4.271,4.261,0.010,5,5000,500,1,6ddf1e0-dirty
phase3,3,8,151936,20,bfloat16,8,64,6.589,6.530,6.597,6.576,0.034,5,5000,500,1,6ddf1e0-dirty
phase4,4,8,151936,20,bfloat16,8,64,8.157,8.145,8.161,8.154,0.007,5,5000,500,1,6ddf1e0-dirty
phase5,5,8,151936,20,bfloat16,8,64,10.260,10.253,10.268,10.260,0.007,5,5000,500,1,6ddf1e0-dirty
phase6,6,8,151936,20,bfloat16,8,64,14.380,14.379,14.384,14.381,0.002,5,5000,500,1,6ddf1e0-dirty
phase7,7,8,151936,20,bfloat16,8,64,16.378,16.377,16.379,16.378,0.001,5,5000,500,1,6ddf1e0-dirty
full,7,8,151936,20,bfloat16,8,64,16.378,16.377,16.380,16.378,0.001,5,5000,500,1,6ddf1e0-dirty
noop,0,8,151936,20,bfloat16,8,64,2.543,2.540,2.554,2.546,0.007,5,5000,500,1,6ddf1e0-dirty
phase1,1,8,151936,50,bfloat16,8,64,4.143,4.140,4.155,4.146,0.007,5,5000,500,1,6ddf1e0-dirty
phase2,2,8,151936,50,bfloat16,8,64,4.256,4.252,4.259,4.255,0.003,5,5000,500,1,6ddf1e0-dirty
phase3,3,8,151936,50,bfloat16,8,64,6.597,6.197,6.599,6.438,0.219,5,5000,500,1,6ddf1e0-dirty
phase4,4,8,151936,50,bfloat16,8,64,8.166,8.161,8.170,8.166,0.004,5,5000,500,1,6ddf1e0-dirty
phase5,5,8,151936,50,bfloat16,8,64,10.263,10.260,10.568,10.338,0.171,5,5000,500,1,6ddf1e0-dirty
phase6,6,8,151936,50,bfloat16,8,64,16.387,16.386,16.389,16.387,0.001,5,5000,500,1,6ddf1e0-dirty
phase7,7,8,151936,50,bfloat16,8,64,20.479,20.477,20.496,20.483,0.010,5,5000,500,1,6ddf1e0-dirty
full,7,8,151936,50,bfloat16,8,64,20.100,20.089,20.101,20.098,0.006,5,5000,500,1,6ddf1e0-dirty
noop,0,8,151936,50,bfloat16,8,64,2.535,2.531,2.553,2.539,0.010,5,5000,500,1,6ddf1e0-dirty
phase1,1,8,151936,100,bfloat16,8,64,4.160,4.155,4.164,4.159,0.004,5,5000,500,1,6ddf1e0-dirty
phase2,2,8,151936,100,bfloat16,8,64,4.275,4.263,4.284,4.274,0.010,5,5000,500,1,6ddf1e0-dirty
phase3,3,8,151936,100,bfloat16,8,64,6.597,6.200,6.599,6.439,0.218,5,5000,500,1,6ddf1e0-dirty
phase4,4,8,151936,100,bfloat16,8,64,8.167,8.163,8.174,8.168,0.005,5,5000,500,1,6ddf1e0-dirty
phase5,5,8,151936,100,bfloat16,8,64,12.043,12.022,12.073,12.047,0.023,5,5000,500,1,6ddf1e0-dirty
phase6,6,8,151936,100,bfloat16,8,64,20.477,20.421,20.491,20.467,0.034,5,5000,500,1,6ddf1e0-dirty
phase7,7,8,151936,100,bfloat16,8,64,26.603,26.601,26.605,26.603,0.002,5,4409,440,1,6ddf1e0-dirty
full,7,8,151936,100,bfloat16,8,64,25.896,25.884,25.910,25.898,0.012,5,4473,447,1,6ddf1e0-dirty
