op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
fused_k100,4,151936,bfloat16,4,16,31.923,31.874,31.949,31.916,0.033,5,3749,374,1215488,2.199,0.068894,d544983-dirty,0
fused_k100,4,151936,bfloat16,8,32,29.388,29.366,29.412,29.386,0.021,5,4002,400,1215488,2.199,0.074836,d544983-dirty,0
fused_k20,8,151936,bfloat16,1,8,57.089,57.059,57.102,57.085,0.020,5,2087,208,2430976,4.399,0.077049,d544983-dirty,0
fused_k20,8,151936,bfloat16,2,16,34.823,34.818,34.827,34.823,0.004,5,3425,342,2430976,4.399,0.126315,d544983-dirty,0
fused_k20,8,151936,bfloat16,4,32,24.062,24.045,24.126,24.078,0.038,5,4941,494,2430976,4.399,0.182801,d544983-dirty,0
fused_k20,8,151936,bfloat16,8,64,18.899,18.878,18.923,18.899,0.020,5,5000,500,2430976,4.399,0.232738,d544983-dirty,0
fused_k20,8,151936,bfloat16,16,128,18.868,18.848,19.485,19.019,0.345,5,5000,500,2430976,4.399,0.233124,d544983-dirty,0
fused_k20,8,151936,bfloat16,20,160,19.015,19.011,19.024,19.017,0.006,5,5000,500,2430976,4.399,0.231323,d544983-dirty,0
fused_k20,8,151936,bfloat16,32,256,23.613,23.548,23.645,23.598,0.045,5,5000,500,2430976,4.399,0.186280,d544983-dirty,0
fused_k50,8,151936,bfloat16,1,8,59.254,57.233,59.274,58.756,1.133,5,2223,222,2430976,4.399,0.074234,d544983-dirty,0
fused_k50,8,151936,bfloat16,2,16,37.164,37.156,37.176,37.165,0.009,5,3234,323,2430976,4.399,0.118356,d544983-dirty,0
fused_k50,8,151936,bfloat16,4,32,27.673,27.667,27.720,27.683,0.027,5,4385,438,2430976,4.399,0.158949,d544983-dirty,0
fused_k50,8,151936,bfloat16,8,64,23.503,23.495,23.524,23.507,0.013,5,5000,500,2430976,4.399,0.187151,d544983-dirty,0
fused_k50,8,151936,bfloat16,16,128,24.608,24.603,24.773,24.648,0.093,5,4653,465,2430976,4.399,0.178750,d544983-dirty,0
