op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
phase7,7,8,151936,20,bfloat16,8,64,20.473,20.469,20.475,20.473,0.003,5,5000,500,1,df3e3c0
full,7,8,151936,20,bfloat16,8,64,20.454,20.452,20.475,20.459,0.012,5,5000,500,1,df3e3c0
noop,0,8,151936,20,bfloat16,8,64,2.514,2.505,2.520,2.513,0.007,5,5000,500,1,df3e3c0
phase1,1,8,151936,50,bfloat16,8,64,4.143,4.142,4.145,4.143,0.001,5,5000,500,1,df3e3c0
phase2,2,8,151936,50,bfloat16,8,64,4.233,4.226,4.263,4.241,0.017,5,5000,500,1,df3e3c0
phase3,3,8,151936,50,bfloat16,8,64,6.590,6.530,6.594,6.576,0.034,5,5000,500,1,df3e3c0
phase4,4,8,151936,50,bfloat16,8,64,8.168,8.159,8.173,8.168,0.007,5,5000,500,1,df3e3c0
phase5,5,8,151936,50,bfloat16,8,64,10.575,10.309,10.577,10.499,0.137,5,5000,500,1,df3e3c0
phase6,6,8,151936,50,bfloat16,8,64,18.417,18.416,18.419,18.417,0.001,5,5000,500,1,df3e3c0
phase7,7,8,151936,50,bfloat16,8,64,22.554,22.553,22.558,22.555,0.002,5,5000,500,1,df3e3c0
full,7,8,151936,50,bfloat16,8,64,22.532,22.531,22.534,22.532,0.001,5,5000,500,1,df3e3c0
noop,0,8,151936,50,bfloat16,8,64,2.512,2.505,2.519,2.512,0.007,5,5000,500,1,df3e3c0
phase1,1,8,151936,100,bfloat16,8,64,4.145,4.136,4.155,4.145,0.009,5,5000,500,1,df3e3c0
phase2,2,8,151936,100,bfloat16,8,64,4.248,4.236,4.258,4.247,0.010,5,5000,500,1,df3e3c0
phase3,3,8,151936,100,bfloat16,8,64,6.598,6.542,6.603,6.586,0.032,5,5000,500,1,df3e3c0
phase4,4,8,151936,100,bfloat16,8,64,8.179,8.171,8.181,8.177,0.005,5,5000,500,1,df3e3c0
phase5,5,8,151936,100,bfloat16,8,64,12.280,12.274,12.282,12.279,0.004,5,5000,500,1,df3e3c0
phase6,6,8,151936,100,bfloat16,8,64,24.552,24.551,24.556,24.553,0.002,5,4817,481,1,df3e3c0
phase7,7,8,151936,100,bfloat16,8,64,30.708,30.708,30.710,30.709,0.001,5,3840,384,1,df3e3c0
full,7,8,151936,100,bfloat16,8,64,30.691,30.681,30.693,30.688,0.006,5,3812,381,1,df3e3c0
noop,0,8,151936,100,bfloat16,8,64,2.512,2.508,2.534,2.519,0.013,5,5000,500,1,df3e3c0
phase1,1,16,151936,20,bfloat16,8,128,6.134,5.979,6.173,6.092,0.095,5,5000,500,1,df3e3c0
phase2,2,16,151936,20,bfloat16,8,128,6.172,6.166,6.175,6.170,0.004,5,5000,500,1,df3e3c0
phase3,3,16,151936,20,bfloat16,8,128,10.227,10.218,10.234,10.227,0.007,5,5000,500,1,df3e3c0
phase4,4,16,151936,20,bfloat16,8,128,10.227,10.224,10.237,10.230,0.006,5,5000,500,1,df3e3c0
phase5,5,16,151936,20,bfloat16,8,128,14.335,14.330,14.340,14.335,0.005,5,5000,500,1,df3e3c0
phase6,6,16,151936,20,bfloat16,8,128,19.234,19.199,19.263,19.233,0.028,5,5000,500,1,df3e3c0
phase7,7,16,151936,20,bfloat16,8,128,22.873,22.867,22.874,22.872,0.004,5,5000,500,1,df3e3c0
full,7,16,151936,20,bfloat16,8,128,22.895,22.874,22.910,22.891,0.016,5,5000,500,1,df3e3c0
noop,0,16,151936,20,bfloat16,8,128,2.519,2.507,2.535,2.521,0.012,5,5000,500,1,df3e3c0
phase1,1,16,151936,50,bfloat16,8,128,6.162,6.104,6.173,6.147,0.032,5,5000,500,1,df3e3c0
phase2,2,16,151936,50,bfloat16,8,128,6.173,6.173,6.175,6.174,0.001,5,5000,500,1,df3e3c0
phase3,3,16,151936,50,bfloat16,8,128,10.228,10.223,10.237,10.229,0.006,5,5000,500,1,df3e3c0
phase4,4,16,151936,50,bfloat16,8,128,10.229,10.225,10.245,10.233,0.009,5,5000,500,1,df3e3c0
phase5,5,16,151936,50,bfloat16,8,128,14.351,14.349,14.353,14.351,0.002,5,5000,500,1,df3e3c0
phase6,6,16,151936,50,bfloat16,8,128,22.529,22.527,22.532,22.529,0.002,5,5000,500,1,df3e3c0
phase7,7,16,151936,50,bfloat16,8,128,26.609,26.607,26.613,26.609,0.003,5,4423,442,1,df3e3c0
full,7,16,151936,50,bfloat16,8,128,26.605,26.602,26.613,26.607,0.005,5,4480,448,1,df3e3c0
